08/10/64,OH PRETTY WOMAN,2
22/10/64,(THERE'S) ALWAYS SOMETHING THERE TO REMIND ME,3
12/11/64,OH PRETTY WOMAN,1
19/11/64,BABY LOVE,2
03/12/64,LITTLE RED ROOSTER,1
10/12/64,I FEEL FINE,5
14/01/65,YEH YEH,2
28/01/65,GO NOW,1
04/02/65,YOU'VE LOST THAT LOVING FEELIN',2
18/02/65,TIRED OF WAITING FOR YOU,1
25/02/65,I'LL NEVER FIND ANOTHER YOU,2
11/03/65,IT'S NOT UNUSUAL,1
18/03/65,THE LAST TIME,3
08/04/65,CONCRETE AND CLAY,1
15/04/65,THE MINUTE YOU'RE GONE,1
22/04/65,TICKET TO RIDE,3
13/05/65,KING OF THE ROAD,1
20/05/65,WHERE ARE YOU NOW (MY LOVE),1
27/05/65,LONG LIVE LOVE,3
17/06/65,CRYING IN THE CHAPEL,1
24/06/65,I'M ALIVE,1
01/07/65,CRYING IN THE CHAPEL,1
08/07/65,I'M ALIVE,2
22/07/65,MR TAMBOURINE MAN,2
05/08/65,HELP!,3
26/08/65,I GOT YOU BABE,2
09/09/65,(I CAN'T GET NO) SATISFACTION,2
23/09/65,MAKE IT EASY ON YOURSELF,1
30/09/65,TEARS,5
04/11/65,GET OFF OF MY CLOUD,3
25/11/65,THE CARNIVAL IS OVER,3
16/12/65,DAY TRIPPER/WE CAN WORK IT OUT,5
20/01/66,KEEP ON RUNNING,1
27/01/66,MICHELLE,3
17/02/66,THESE BOOTS ARE MADE FOR WALKIN',4
17/03/66,THE SUN AIN'T GONNA SHINE ANYMORE,4
14/04/66,SOMEBODY HELP ME,2
28/04/66,YOU DON'T HAVE TO SAY YOU LOVE ME,1
05/05/66,PRETTY FLAMINGO,3
26/05/66,"PAINT IT, BLACK",1
02/06/66,STRANGERS IN THE NIGHT,3
23/06/66,PAPERBACK WRITER,2
07/07/66,SUNNY AFTERNOON,2
21/07/66,GET AWAY,1
28/07/66,OUT OF TIME,1
04/08/66,WITH A GIRL LIKE YOU,2
18/08/66,YELLOW SUBMARINE/ELEANOR RIGBY,4
15/09/66,ALL OR NOTHING,1
22/09/66,DISTANT DRUMS,5
27/10/66,REACH OUT I'LL BE THERE,3
17/11/66,GOOD VIBRATIONS,2
01/12/66,GREEN GREEN GRASS OF HOME,7
19/01/67,I'M A BELIEVER,4
16/02/67,THIS IS MY SONG,2
02/03/67,RELEASE ME,6
13/04/67,SOMETHIN' STUPID,2
27/04/67,PUPPET ON A STRING,3
18/05/67,SILENCE IS GOLDEN,3
08/06/67,A WHITER SHADE OF PALE,6
19/07/67,ALL YOU NEED IS LOVE,3
09/08/67,SAN FRANCISCO (BE SURE TO WEAR SOME FLOWERS IN YOUR HAIR),4
06/09/67,THE LAST WALTZ,5
11/10/67,MASSACHUSETTS,4
08/11/67,BABY NOW THAT I'VE FOUND YOU,2
22/11/67,LET THE HEARTACHES BEGIN,2
06/12/67,HELLO GOODBYE,7
24/01/68,THE BALLAD OF BONNIE AND CLYDE,1
31/01/68,EVERLASTING LOVE,2
14/02/68,MIGHTY QUINN,2
28/02/68,CINDERELLA ROCKEFELLA,3
